City,Restaurant Count,Average Rating,Average Votes,Average Price Range,% Table Booking,% Online Delivery
Princeton,1,4.0,542.0,4.0,0.0,0.0
Potrero,1,3.3,9.0,2.0,0.0,0.0
Phillip Island,1,3.7,351.0,2.0,0.0,0.0
Panchkula,1,4.2,843.0,4.0,0.0,0.0
Paynesville,1,2.6,16.0,4.0,0.0,0.0
Tagaytay City,1,4.5,211.0,3.0,100.0,0.0
Randburg,1,4.3,618.0,3.0,0.0,0.0
Victor Harbor,1,3.6,96.0,2.0,0.0,0.0
Vernonia,1,4.3,88.0,1.0,0.0,0.0
Tanunda,1,4.4,339.0,3.0,0.0,0.0
Trentham East,1,4.1,87.0,2.0,0.0,0.0
Weirton,1,3.9,156.0,2.0,0.0,0.0
Vineland Station,1,4.3,204.0,4.0,0.0,0.0
Winchester Bay,1,3.2,16.0,2.0,0.0,0.0
Yorkton,1,3.3,26.0,2.0,0.0,0.0
